Actual,Predicted,Difference
353000,361514.12,-8514.12
371400,358804.89,12595.11
243700,271625.6,-27925.6
612500,742313.3,-129813.3
358700,357896.25,803.75
365400,395863.37,-30463.37
983700,1607265.96,-623565.96
283400,304316.47,-20916.47
376700,333713.19,42986.81
738900,723153.2,15746.8
367500,349236.21,18263.79
1800000,917444.51,882555.49
268300,276280.34,-7980.34
188200,190086.48,-1886.48
228600,266027.15,-37427.15
433100,402649.27,30450.73
262300,287552.11,-25252.11
214500,188318.23,26181.77
1242300,665487.2,576812.8
317100,349989.21,-32889.21
249200,306180.2,-56980.2
473000,457494.39,15505.61
592600,538713.45,53886.55
576700,518351.1,58348.9
217700,217312.53,387.47
287900,312956.63,-25056.63
533400,429096.55,104303.45
291500,350496.74,-58996.74
762400,809401.55,-47001.55
888100,871209.93,16890.07
295800,305312.12,-9512.12
316500,310977.02,5522.98
463200,423907.42,39292.58
563300,391193.87,172106.13
364300,354345.99,9954.01
237400,260240.37,-22840.37
408200,349498.07,58701.93
346400,383149.24,-36749.24
265200,288870.67,-23670.67
426900,386409.46,40490.54
426500,382546.07,43953.93
438500,476987.7,-38487.7
469400,956300.8,-486900.8
296600,329636.56,-33036.56
316900,315258.09,1641.91
260400,305268.33,-44868.33
263900,238698.95,25201.05
338400,382019.9,-43619.9
364400,350571.12,13828.88
484300,471320.16,12979.84
670000,699657.58,-29657.58
571600,568594.1,3005.9
297100,308194.7,-11094.7
447400,453365.67,-5965.67
340500,340404.68,95.32
97100,173443.27,-76343.27
423300,507758.07,-84458.07
348400,367983.58,-19583.58
279400,272688.82,6711.18
227900,224856.1,3043.9
318600,330968.11,-12368.11
257600,292678.81,-35078.81
572700,574907.28,-2207.28
253800,282574.44,-28774.44
293700,308434.29,-14734.29
256400,302374.26,-45974.26
448300,445043.4,3256.6
234500,259410.07,-24910.07
237800,286371.41,-48571.41
276500,314645.88,-38145.88
243000,265510.17,-22510.17
445000,423259.97,21740.03
595800,581142.51,14657.49
377900,384799.28,-6899.28
225400,234675.5,-9275.5
216400,265038.95,-48638.95
234900,261686.47,-26786.47
400300,400674.82,-374.82
735300,873673.64,-138373.64
257400,312924.37,-55524.37
433200,404865.47,28334.53
191700,231459.92,-39759.92
405200,351529.2,53670.8
316800,310043.18,6756.82
272400,206628.09,65771.91
327000,336465.68,-9465.68
497400,488053.3,9346.7
191500,268801.04,-77301.04
354900,344126.75,10773.25
443200,380049.46,63150.54
321600,310499.04,11100.96
542200,428879.48,113320.52
522700,583378.06,-60678.06
310600,221909.52,88690.48
240000,271569.54,-31569.54
364900,361492.63,3407.37
370900,366782.34,4117.66
463000,423229.14,39770.86
388900,306721.62,82178.38
322900,382511.28,-59611.28
421000,384573.39,36426.61
246400,303112.82,-56712.82
256600,335108.34,-78508.34
169900,214127.96,-44227.96
922700,770773.56,151926.44
340200,338675.29,1524.71
382300,369133.73,13166.27
335600,269638.15,65961.85
342100,251644.61,90455.39
262400,328887.51,-66487.51
138000,235489.58,-97489.58
247600,264788.33,-17188.33
1732100,1029927.86,702172.14
237600,267466.43,-29866.43
363200,395117.0,-31917.0
123100,225814.11,-102714.11
517500,534750.25,-17250.25
249000,282609.21,-33609.21
644300,571675.17,72624.83
226200,252122.84,-25922.84
236800,252461.1,-15661.1
238300,203736.05,34563.95
505700,466118.59,39581.41
188100,221807.43,-33707.43
227300,249109.42,-21809.42
311100,322338.77,-11238.77
518100,405001.84,113098.16
462000,677210.83,-215210.83
522300,649557.06,-127257.06
235200,272025.84,-36825.84
1042600,670743.6,371856.4
241700,274886.85,-33186.85
242100,204052.25,38047.75
537500,474732.34,62767.66
246000,282746.55,-36746.55
375700,352529.09,23170.91
405700,422923.5,-17223.5
642000,453758.86,188241.14
472300,454348.79,17951.21
613500,513001.32,100498.68
401400,378999.9,22400.1
449300,422333.36,26966.64
250900,281112.04,-30212.04
197200,250037.71,-52837.71
334800,418606.33,-83806.33
