Actual,Predicted,Difference
353000,356907.0,-3907.0
371400,372725.0,-1325.0
243700,243608.0,92.0
612500,612576.0,-76.0
358700,357864.0,836.0
365400,362343.0,3057.0
983700,977944.0,5756.0
283400,282882.0,518.0
376700,374170.0,2530.0
738900,744302.0,-5402.0
367500,373472.0,-5972.0
1800000,1179553.0,620447.0
268300,268346.0,-46.0
188200,186922.0,1278.0
228600,226571.0,2029.0
433100,435999.0,-2899.0
262300,263084.0,-784.0
214500,214564.0,-64.0
1242300,1037700.0,204600.0
317100,318910.0,-1810.0
249200,250015.0,-815.0
473000,475132.0,-2132.0
592600,613197.0,-20597.0
576700,597727.0,-21027.0
217700,219644.0,-1944.0
287900,282498.0,5402.0
533400,530526.0,2874.0
291500,289306.0,2194.0
762400,783764.0,-21364.0
888100,885393.0,2707.0
295800,296356.0,-556.0
316500,316288.0,212.0
463200,459351.0,3849.0
563300,570847.0,-7547.0
364300,362928.0,1372.0
237400,238212.0,-812.0
408200,401606.0,6594.0
346400,345567.0,833.0
265200,264573.0,627.0
426900,426960.0,-60.0
426500,422870.0,3630.0
438500,441730.0,-3230.0
469400,317541.0,151859.0
296600,297688.0,-1088.0
316900,316817.0,83.0
260400,260840.0,-440.0
263900,265196.0,-1296.0
338400,342641.0,-4241.0
364400,364042.0,358.0
484300,485629.0,-1329.0
670000,694402.0,-24402.0
571600,571044.0,556.0
297100,296848.0,252.0
447400,447272.0,128.0
340500,344257.0,-3757.0
97100,104366.0,-7266.0
423300,442818.0,-19518.0
348400,363242.0,-14842.0
279400,281181.0,-1781.0
227900,227439.0,461.0
318600,318365.0,235.0
257600,258338.0,-738.0
572700,584184.0,-11484.0
253800,251433.0,2367.0
293700,323868.0,-30168.0
256400,255495.0,905.0
448300,448625.0,-325.0
234500,234370.0,130.0
237800,237341.0,459.0
276500,277011.0,-511.0
243000,243141.0,-141.0
445000,445149.0,-149.0
595800,592673.0,3127.0
377900,379428.0,-1528.0
225400,225841.0,-441.0
216400,216443.0,-43.0
234900,234332.0,568.0
400300,401155.0,-855.0
735300,712244.0,23056.0
257400,266723.0,-9323.0
433200,431569.0,1631.0
191700,191439.0,261.0
405200,405801.0,-601.0
316800,324090.0,-7290.0
272400,272274.0,126.0
327000,325538.0,1462.0
497400,496842.0,558.0
191500,191543.0,-43.0
354900,355939.0,-1039.0
443200,444114.0,-914.0
321600,323689.0,-2089.0
542200,507772.0,34428.0
522700,514627.0,8073.0
310600,298581.0,12019.0
240000,240298.0,-298.0
364900,364762.0,138.0
370900,370274.0,626.0
463000,479675.0,-16675.0
388900,363808.0,25092.0
322900,317949.0,4951.0
421000,431055.0,-10055.0
246400,247283.0,-883.0
256600,256196.0,404.0
169900,186080.0,-16180.0
922700,916726.0,5974.0
340200,339433.0,767.0
382300,389145.0,-6845.0
335600,324900.0,10700.0
342100,313910.0,28190.0
262400,269921.0,-7521.0
138000,183995.0,-45995.0
247600,248455.0,-855.0
1732100,1703128.0,28972.0
237600,237093.0,507.0
363200,363930.0,-730.0
123100,123393.0,-293.0
517500,512446.0,5054.0
249000,249914.0,-914.0
644300,620510.0,23790.0
226200,226197.0,3.0
236800,236554.0,246.0
238300,238896.0,-596.0
505700,508149.0,-2449.0
188100,188931.0,-831.0
227300,227043.0,257.0
311100,308597.0,2503.0
518100,506415.0,11685.0
462000,466276.0,-4276.0
522300,527525.0,-5225.0
235200,235367.0,-167.0
1042600,991711.0,50889.0
241700,241289.0,411.0
242100,238305.0,3795.0
537500,537725.0,-225.0
246000,245875.0,125.0
375700,377180.0,-1480.0
405700,407663.0,-1963.0
642000,630976.0,11024.0
472300,468868.0,3432.0
613500,605734.0,7766.0
401400,400136.0,1264.0
449300,451118.0,-1818.0
250900,251989.0,-1089.0
197200,197125.0,75.0
334800,340228.0,-5428.0
598100,603440.0,-5340.0
377900,378981.0,-1081.0
1040000,974565.0,65435.0
250000,247823.0,2177.0
230000,235811.0,-5811.0
493900,499654.0,-5754.0
438700,437447.0,1253.0
659400,664018.0,-4618.0
492800,499655.0,-6855.0
278500,277543.0,957.0
152100,152188.0,-88.0
321600,320654.0,946.0
575800,577804.0,-2004.0
230500,229886.0,614.0
238700,237770.0,930.0
586200,587179.0,-979.0
324000,324938.0,-938.0
283000,282184.0,816.0
525200,563352.0,-38152.0
318100,318327.0,-227.0
460400,457786.0,2614.0
389900,387548.0,2352.0
269800,270004.0,-204.0
200800,200565.0,235.0
439800,444014.0,-4214.0
275400,275447.0,-47.0
241900,241402.0,498.0
457600,457688.0,-88.0
387000,387776.0,-776.0
254000,255015.0,-1015.0
382800,381410.0,1390.0
526200,524847.0,1353.0
233300,234457.0,-1157.0
377000,377020.0,-20.0
289000,280667.0,8333.0
392100,394270.0,-2170.0
