Actual,Predicted,Difference
353000,485845.0,-132845.0
371400,342508.0,28892.0
243700,251298.0,-7598.0
612500,632654.0,-20154.0
358700,347039.0,11661.0
365400,359712.0,5688.0
983700,1013615.0,-29915.0
283400,255479.0,27921.0
376700,334741.0,41959.0
738900,712152.0,26748.0
367500,295117.0,72383.0
1800000,1245957.0,554043.0
268300,292528.0,-24228.0
188200,188122.0,78.0
228600,240620.0,-12020.0
433100,437904.0,-4804.0
262300,264534.0,-2234.0
214500,188272.0,26228.0
1242300,924951.0,317349.0
317100,314895.0,2205.0
249200,261489.0,-12289.0
473000,467499.0,5501.0
592600,718457.0,-125857.0
576700,632573.0,-55873.0
217700,190709.0,26991.0
287900,270309.0,17591.0
533400,493964.0,39436.0
291500,309334.0,-17834.0
762400,749183.0,13217.0
888100,878430.0,9670.0
295800,292034.0,3766.0
316500,327597.0,-11097.0
463200,437166.0,26034.0
563300,530685.0,32615.0
364300,367551.0,-3251.0
237400,235186.0,2214.0
408200,374808.0,33392.0
346400,366524.0,-20124.0
265200,252613.0,12587.0
426900,419677.0,7223.0
426500,381517.0,44983.0
438500,455620.0,-17120.0
469400,333539.0,135861.0
296600,290923.0,5677.0
316900,304291.0,12609.0
260400,264077.0,-3677.0
263900,216069.0,47831.0
338400,373153.0,-34753.0
364400,353409.0,10991.0
484300,486752.0,-2452.0
670000,739685.0,-69685.0
571600,543912.0,27688.0
297100,290422.0,6678.0
447400,454594.0,-7194.0
340500,331693.0,8807.0
97100,125690.0,-28590.0
423300,536600.0,-113300.0
348400,305418.0,42982.0
279400,267233.0,12167.0
227900,231722.0,-3822.0
318600,309909.0,8691.0
257600,266190.0,-8590.0
572700,584886.0,-12186.0
253800,245063.0,8737.0
293700,362852.0,-69152.0
256400,250397.0,6003.0
448300,457859.0,-9559.0
234500,198621.0,35879.0
237800,241849.0,-4049.0
276500,278063.0,-1563.0
243000,239195.0,3805.0
445000,433112.0,11888.0
595800,553480.0,42320.0
377900,375642.0,2258.0
225400,198555.0,26845.0
216400,212048.0,4352.0
234900,246924.0,-12024.0
400300,392530.0,7770.0
735300,701767.0,33533.0
257400,306065.0,-48665.0
433200,422135.0,11065.0
191700,192826.0,-1126.0
405200,406251.0,-1051.0
316800,296725.0,20075.0
272400,201077.0,71323.0
327000,314699.0,12301.0
497400,493634.0,3766.0
191500,205964.0,-14464.0
354900,349141.0,5759.0
443200,351047.0,92153.0
321600,289827.0,31773.0
542200,550147.0,-7947.0
522700,617102.0,-94402.0
310600,274390.0,36210.0
240000,235110.0,4890.0
364900,364582.0,318.0
370900,351327.0,19573.0
463000,495554.0,-32554.0
388900,333234.0,55666.0
322900,304690.0,18210.0
421000,465490.0,-44490.0
246400,252453.0,-6053.0
256600,269578.0,-12978.0
169900,198219.0,-28319.0
922700,912253.0,10447.0
340200,343363.0,-3163.0
382300,344403.0,37897.0
335600,216802.0,118798.0
342100,321286.0,20814.0
262400,244001.0,18399.0
138000,184557.0,-46557.0
247600,254615.0,-7015.0
1732100,1209056.0,523044.0
237600,237493.0,107.0
363200,383917.0,-20717.0
123100,117030.0,6070.0
517500,495707.0,21793.0
249000,265660.0,-16660.0
644300,575467.0,68833.0
226200,228965.0,-2765.0
236800,228180.0,8620.0
238300,219375.0,18925.0
505700,504695.0,1005.0
188100,153878.0,34222.0
227300,245813.0,-18513.0
311100,296283.0,14817.0
518100,572909.0,-54809.0
462000,481826.0,-19826.0
522300,518771.0,3529.0
235200,228821.0,6379.0
1042600,833193.0,209407.0
241700,252957.0,-11257.0
242100,209915.0,32185.0
537500,490218.0,47282.0
246000,243714.0,2286.0
375700,307831.0,67869.0
405700,411964.0,-6264.0
642000,587182.0,54818.0
472300,475351.0,-3051.0
613500,611474.0,2026.0
401400,393934.0,7466.0
449300,451248.0,-1948.0
250900,243669.0,7231.0
197200,208603.0,-11403.0
334800,356954.0,-22154.0
598100,572705.0,25395.0
377900,367292.0,10608.0
1040000,945333.0,94667.0
250000,242962.0,7038.0
230000,305356.0,-75356.0
493900,486273.0,7627.0
438700,435172.0,3528.0
659400,677234.0,-17834.0
492800,528644.0,-35844.0
278500,238041.0,40459.0
152100,190844.0,-38744.0
321600,304057.0,17543.0
575800,597054.0,-21254.0
230500,235972.0,-5472.0
238700,238907.0,-207.0
586200,550741.0,35459.0
324000,325303.0,-1303.0
283000,302321.0,-19321.0
525200,586303.0,-61103.0
318100,317206.0,894.0
460400,439424.0,20976.0
389900,374547.0,15353.0
269800,243591.0,26209.0
200800,171612.0,29188.0
439800,420474.0,19326.0
275400,266786.0,8614.0
241900,233754.0,8146.0
457600,433164.0,24436.0
387000,410761.0,-23761.0
254000,254569.0,-569.0
382800,342319.0,40481.0
526200,529365.0,-3165.0
233300,225331.0,7969.0
377000,301212.0,75788.0
289000,246401.0,42599.0
392100,452362.0,-60262.0
618300,598382.0,19918.0
520700,511510.0,9190.0
344100,320929.0,23171.0
290400,275690.0,14710.0
230100,190911.0,39189.0
349000,340860.0,8140.0
544300,476996.0,67304.0
312700,281545.0,31155.0
497000,489662.0,7338.0
221200,235681.0,-14481.0
569700,527461.0,42239.0
232200,230352.0,1848.0
462600,421119.0,41481.0
253000,267310.0,-14310.0
383000,372024.0,10976.0
690200,642290.0,47910.0
227500,227987.0,-487.0
475500,502023.0,-26523.0
338000,288218.0,49782.0
313600,302107.0,11493.0
227000,230284.0,-3284.0
183000,192446.0,-9446.0
900000,901535.0,-1535.0
362100,394930.0,-32830.0
367900,378608.0,-10708.0
274000,256565.0,17435.0
439100,431395.0,7705.0
492300,474190.0,18110.0
254300,262741.0,-8441.0
440200,214040.0,226160.0
227700,256977.0,-29277.0
371600,427714.0,-56114.0
499000,501749.0,-2749.0
200000,223861.0,-23861.0
410600,385089.0,25511.0
542000,588384.0,-46384.0
222700,219757.0,2943.0
683100,581447.0,101653.0
420800,354058.0,66742.0
274400,287013.0,-12613.0
338300,336676.0,1624.0
504500,678094.0,-173594.0
190400,244430.0,-54030.0
209700,209298.0,402.0
365300,445521.0,-80221.0
274400,272067.0,2333.0
447800,462508.0,-14708.0
345300,375688.0,-30388.0
472200,376888.0,95312.0
399200,446836.0,-47636.0
345700,326994.0,18706.0
332900,316778.0,16122.0
158500,153748.0,4752.0
563800,549142.0,14658.0
72200,156813.0,-84613.0
279700,425854.0,-146154.0
635300,610021.0,25279.0
280100,311567.0,-31467.0
429700,412543.0,17157.0
263300,279412.0,-16112.0
259300,246192.0,13108.0
331300,316935.0,14365.0
207600,208555.0,-955.0
245900,278926.0,-33026.0
474200,377681.0,96519.0
754600,763385.0,-8785.0
284800,236323.0,48477.0
351900,427943.0,-76043.0
351600,339063.0,12537.0
222300,231133.0,-8833.0
253700,252652.0,1048.0
226000,278477.0,-52477.0
468700,417137.0,51563.0
364200,351324.0,12876.0
273000,260948.0,12052.0
821800,777307.0,44493.0
512600,496699.0,15901.0
294100,285722.0,8378.0
368800,351825.0,16975.0
248500,249639.0,-1139.0
269900,279152.0,-9252.0
204000,216277.0,-12277.0
376000,370505.0,5495.0
466800,539963.0,-73163.0
586300,555927.0,30373.0
263200,218243.0,44957.0
239300,243482.0,-4182.0
265300,213187.0,52113.0
383300,554981.0,-171681.0
621500,568781.0,52719.0
274900,267163.0,7737.0
1032500,1186181.0,-153681.0
350100,363125.0,-13025.0
218100,241193.0,-23093.0
242100,248338.0,-6238.0
265800,274156.0,-8356.0
628100,639427.0,-11327.0
264400,255530.0,8870.0
617300,596715.0,20585.0
796500,780897.0,15603.0
340700,331667.0,9033.0
348200,345911.0,2289.0
658300,588535.0,69765.0
238300,242848.0,-4548.0
283500,375274.0,-91774.0
494400,503443.0,-9043.0
417300,357876.0,59424.0
790300,812807.0,-22507.0
231600,244015.0,-12415.0
1072500,938447.0,134053.0
300000,279451.0,20549.0
328000,313172.0,14828.0
260300,230313.0,29987.0
184500,198739.0,-14239.0
980000,910893.0,69107.0
