Actual,Predicted,Difference
353000,354822.0,-1822.0
371400,371841.56,-441.56
243700,243554.42,145.58
612500,610418.0,2082.0
358700,358263.73,436.27
365400,366947.67,-1547.67
983700,970920.0,12780.0
283400,282566.28,833.72
376700,372475.1,4224.9
738900,745982.95,-7082.95
367500,370671.0,-3171.0
1800000,1097951.33,702048.67
268300,268977.98,-677.98
188200,187916.44,283.56
228600,225454.93,3145.07
433100,437971.93,-4871.93
262300,262495.72,-195.72
214500,214322.73,177.27
1242300,1070623.33,171676.67
317100,318581.67,-1481.67
249200,249555.71,-355.71
473000,475208.9,-2208.9
592600,599365.31,-6765.31
576700,569941.67,6758.33
217700,220867.0,-3167.0
287900,283159.11,4740.89
533400,529943.5,3456.5
291500,291108.0,392.0
762400,777673.2,-15273.2
888100,896437.33,-8337.33
295800,294825.0,975.0
316500,317460.43,-960.43
463200,461077.18,2122.82
563300,576001.27,-12701.27
364300,361668.63,2631.37
237400,238107.64,-707.64
408200,400904.81,7295.19
346400,344547.0,1853.0
265200,265102.54,97.46
426900,427826.61,-926.61
426500,429168.1,-2668.1
438500,434146.5,4353.5
469400,316504.33,152895.67
296600,298545.16,-1945.16
316900,317072.28,-172.28
260400,260250.0,150.0
263900,263394.0,506.0
338400,342432.94,-4032.94
364400,363605.14,794.86
484300,485979.46,-1679.46
670000,697904.37,-27904.37
571600,568592.34,3007.66
297100,297234.33,-134.33
447400,448404.29,-1004.29
340500,343627.0,-3127.0
97100,110682.0,-13582.0
423300,439129.5,-15829.5
348400,360059.0,-11659.0
279400,280495.29,-1095.29
227900,228097.28,-197.28
318600,318622.81,-22.81
257600,258245.22,-645.22
572700,570759.2,1940.8
253800,253274.01,525.99
293700,297306.0,-3606.0
256400,256973.27,-573.27
448300,449871.13,-1571.13
234500,234594.67,-94.67
237800,237397.03,402.97
276500,277200.94,-700.94
243000,243716.66,-716.66
445000,446569.27,-1569.27
595800,587375.95,8424.05
377900,378184.33,-284.33
225400,226097.67,-697.67
216400,216436.53,-36.53
234900,234708.63,191.37
400300,401418.61,-1118.61
735300,692868.0,42432.0
257400,271903.67,-14503.67
433200,432410.78,789.22
191700,191656.75,43.25
405200,404873.65,326.35
316800,323724.61,-6924.61
272400,272081.33,318.67
327000,326807.58,192.42
497400,497116.58,283.42
191500,192434.56,-934.56
354900,354412.87,487.13
443200,448493.33,-5293.33
321600,322663.54,-1063.54
542200,528330.67,13869.33
522700,519379.67,3320.33
310600,295667.88,14932.12
240000,240238.79,-238.79
364900,364619.27,280.73
370900,370103.29,796.71
463000,467218.33,-4218.33
388900,371868.67,17031.33
322900,320120.67,2779.33
421000,431122.33,-10122.33
246400,246678.2,-278.2
256600,257458.33,-858.33
169900,182946.24,-13046.24
922700,901812.0,20888.0
340200,338310.19,1889.81
382300,387863.28,-5563.28
335600,336948.33,-1348.33
342100,319333.67,22766.33
262400,265331.33,-2931.33
138000,196606.0,-58606.0
247600,248300.67,-700.67
1732100,1704371.0,27729.0
237600,237276.86,323.14
363200,365624.33,-2424.33
123100,123711.0,-611.0
517500,517698.0,-198.0
249000,249631.33,-631.33
644300,620364.33,23935.67
226200,226673.22,-473.22
236800,236796.98,3.02
238300,237805.61,494.39
505700,509133.48,-3433.48
188100,188608.0,-508.0
227300,225983.6,1316.4
311100,309202.0,1898.0
518100,510023.94,8076.06
462000,463864.53,-1864.53
522300,527140.0,-4840.0
235200,235549.22,-349.22
1042600,989862.0,52738.0
241700,241653.36,46.64
242100,240488.2,1611.8
537500,536940.64,559.36
246000,246208.34,-208.34
375700,377593.19,-1893.19
405700,406049.79,-349.79
642000,634273.4,7726.6
472300,463258.33,9041.67
613500,600232.07,13267.93
401400,402277.67,-877.67
449300,452383.44,-3083.44
250900,252076.5,-1176.5
197200,197874.67,-674.67
334800,343462.33,-8662.33
598100,593590.95,4509.05
377900,380612.7,-2712.7
1040000,975457.07,64542.93
250000,249054.67,945.33
230000,232709.0,-2709.0
493900,500319.54,-6419.54
438700,441316.0,-2616.0
659400,667644.25,-8244.25
492800,499166.67,-6366.67
278500,279682.67,-1182.67
152100,151187.82,912.18
321600,320294.94,1305.06
575800,573469.35,2330.65
230500,230389.31,110.69
238700,238229.9,470.1
586200,581912.87,4287.13
324000,324188.81,-188.81
283000,283499.68,-499.68
525200,530239.56,-5039.56
318100,319527.1,-1427.1
460400,460796.12,-396.12
389900,387701.91,2198.09
269800,269856.39,-56.39
200800,201154.48,-354.48
439800,439198.01,601.99
275400,275408.85,-8.85
241900,241377.17,522.83
457600,458713.7,-1113.7
387000,386287.04,712.96
254000,254559.67,-559.67
382800,381679.73,1120.27
526200,523668.67,2531.33
233300,233726.96,-426.96
377000,375584.67,1415.33
289000,278865.33,10134.67
392100,386809.33,5290.67
618300,612582.0,5718.0
520700,534660.61,-13960.61
344100,342828.49,1271.51
290400,286126.53,4273.47
230100,231347.58,-1247.58
349000,349831.39,-831.39
544300,532456.0,11844.0
312700,308010.21,4689.79
497000,493074.49,3925.51
221200,220553.17,646.83
569700,556322.56,13377.44
232200,230156.87,2043.13
462600,463732.44,-1132.44
253000,252531.67,468.33
383000,383551.75,-551.75
690200,676807.57,13392.43
227500,228233.73,-733.73
475500,506889.0,-31389.0
338000,320442.33,17557.67
313600,314253.81,-653.81
227000,226438.54,561.46
183000,183854.1,-854.1
900000,891580.93,8419.07
362100,287537.67,74562.33
367900,367788.69,111.31
274000,271104.0,2896.0
439100,440392.24,-1292.24
492300,491781.67,518.33
254300,254274.09,25.91
440200,458119.0,-17919.0
227700,228619.8,-919.8
371600,368170.18,3429.82
499000,503506.29,-4506.29
200000,200713.59,-713.59
410600,422878.14,-12278.14
542000,537614.22,4385.78
