date,median_sale_price
2024-01-01,353000
2024-01-01,371400
2024-01-01,243700
2024-01-01,612500
2024-01-01,358700
2024-01-01,365400
2024-01-01,983700
2024-01-01,283400
2024-01-01,376700
2024-01-01,738900
2024-01-01,367500
2024-01-01,1800000
2024-01-01,268300
2024-01-01,188200
2024-01-01,228600
2024-01-01,433100
2024-01-01,262300
2024-01-01,214500
2024-01-01,1242300
2024-01-01,317100
2024-01-01,249200
2024-01-01,473000
2024-01-01,592600
2024-01-01,576700
2024-01-01,217700
2024-01-01,287900
2024-01-01,533400
2024-01-01,291500
2024-01-01,762400
2024-01-01,888100
2024-01-01,295800
2024-01-01,316500
2024-01-01,463200
2024-01-01,563300
2024-01-01,364300
2024-01-01,237400
2024-01-01,408200
2024-01-01,346400
2024-01-01,265200
2024-01-01,426900
2024-01-01,426500
2024-01-01,438500
2024-01-01,469400
2024-01-01,296600
2024-01-01,316900
2024-01-01,260400
2024-01-01,263900
2024-01-01,338400
2024-01-01,364400
2024-01-01,484300
2024-01-01,670000
2024-01-01,571600
2024-01-01,297100
2024-01-01,447400
2024-01-01,340500
2024-01-01,97100
2024-01-01,423300
2024-01-01,348400
2024-01-01,279400
2024-01-01,227900
2024-01-01,318600
2024-01-01,257600
2024-01-01,572700
2024-01-01,253800
2024-01-01,293700
2024-01-01,256400
2024-01-01,448300
2024-01-01,234500
2024-01-01,237800
2024-01-01,276500
2024-01-01,243000
2024-01-01,445000
2024-01-01,595800
2024-01-01,377900
2024-01-01,225400
2024-01-01,216400
2024-01-01,234900
2024-01-01,400300
2024-01-01,735300
2024-01-01,257400
2024-01-01,433200
2024-01-01,191700
2024-01-01,405200
2024-01-01,316800
2024-01-01,272400
2024-01-01,327000
2024-01-01,497400
2024-01-01,191500
2024-01-01,354900
2024-01-01,443200
2024-01-01,321600
2024-01-01,542200
2024-01-01,522700
2024-01-01,310600
2024-01-01,240000
2024-01-01,364900
2024-01-01,370900
2024-01-01,463000
2024-01-01,388900
2024-01-01,322900
2024-01-01,421000
2024-01-01,246400
2024-01-01,256600
2024-01-01,169900
2024-01-01,922700
2024-01-01,340200
2024-01-01,382300
2024-01-01,335600
2024-01-01,342100
2024-01-01,262400
2024-01-01,138000
2024-01-01,247600
2024-01-01,1732100
2024-01-01,237600
2024-01-01,363200
2024-01-01,123100
2024-01-01,517500
2024-01-01,249000
2024-01-01,644300
2024-01-01,226200
2024-01-01,236800
2024-01-01,238300
2024-01-01,505700
2024-01-01,188100
2024-01-01,227300
2024-01-01,311100
2024-01-01,518100
2024-01-01,462000
2024-01-01,522300
2024-01-01,235200
2024-01-01,1042600
2024-01-01,241700
2024-01-01,242100
2024-01-01,537500
2024-01-01,246000
2024-01-01,375700
2024-01-01,405700
2024-01-01,642000
2024-01-01,472300
2024-01-01,613500
2024-01-01,401400
2024-01-01,449300
2024-01-01,250900
2024-01-01,197200
2024-01-01,334800
2024-01-01,598100
2024-01-01,377900
2024-01-01,1040000
2024-01-01,250000
2024-01-01,230000
2024-01-01,493900
2024-01-01,438700
2024-01-01,659400
2024-01-01,492800
2024-01-01,278500
2024-01-01,152100
2024-01-01,321600
2024-01-01,575800
2024-01-01,230500
2024-01-01,238700
2024-01-01,586200
2024-01-01,324000
2024-01-01,283000
2024-01-01,525200
2024-01-01,318100
2024-01-01,460400
2024-01-01,389900
2024-01-01,269800
2024-01-01,200800
2024-01-01,439800
2024-01-01,275400
2024-01-01,241900
2024-01-01,457600
2024-01-01,387000
2024-01-01,254000
2024-01-01,382800
2024-01-01,526200
2024-01-01,233300
2024-01-01,377000
2024-01-01,289000
2024-01-01,392100
2024-01-01,618300
2024-01-01,520700
2024-01-01,344100
2024-01-01,290400
2024-01-01,230100
2024-01-01,349000
2024-01-01,544300
2024-01-01,312700
2024-01-01,497000
2024-01-01,221200
2024-01-01,569700
2024-01-01,232200
2024-01-01,462600
2024-01-01,253000
2024-01-01,383000
2024-01-01,690200
2024-01-01,227500
2024-01-01,475500
2024-01-01,338000
2024-01-01,313600
2024-01-01,227000
2024-01-01,183000
2024-01-01,900000
2024-01-01,362100
2024-01-01,367900
2024-01-01,274000
2024-01-01,439100
2024-01-01,492300
2024-01-01,254300
2024-01-01,440200
2024-01-01,227700
2024-01-01,371600
2024-01-01,499000
2024-01-01,200000
2024-01-01,410600
2024-01-01,542000
2024-01-01,222700
2024-01-01,683100
2024-01-01,420800
2024-01-01,274400
2024-01-01,338300
2024-01-01,504500
2024-01-01,190400
2024-01-01,209700
2024-01-01,365300
2024-01-01,274400
2024-01-01,447800
2024-01-01,345300
2024-01-01,472200
2024-01-01,399200
2024-01-01,345700
2024-01-01,332900
2024-01-01,158500
2024-01-01,563800
2024-01-01,72200
2024-01-01,279700
2024-01-01,635300
2024-01-01,280100
2024-01-01,429700
2024-01-01,263300
2024-01-01,259300
2024-01-01,331300
2024-01-01,207600
2024-01-01,245900
2024-01-01,474200
2024-01-01,754600
2024-01-01,284800
2024-01-01,351900
2024-01-01,351600
2024-01-01,222300
2023-10-01,253700
2023-10-01,226000
2023-10-01,468700
2023-10-01,364200
2023-10-01,273000
