date,Actual,Predicted,Difference
2024-07-01,333900,339313.02,-5413.020000000019
2024-07-01,1085100,957614.33,127485.67000000004
2024-07-01,251700,252739.67,-1039.6700000000128
2024-07-01,376500,378883.0,-2383.0
2024-07-01,286400,286150.23,249.77000000001863
2024-07-01,309300,310169.08,-869.0800000000163
2024-07-01,497500,508158.64,-10658.640000000014
2024-07-01,667600,661967.35,5632.650000000023
2024-07-01,655500,642581.33,12918.670000000042
2024-07-01,635000,635079.59,-79.5899999999674
2024-07-01,328900,328624.63,275.36999999999534
2024-07-01,468800,469259.78,-459.78000000002794
2024-07-01,315100,314862.0,238.0
2024-07-01,573900,561888.0,12012.0
2024-07-01,441400,440723.96,676.039999999979
2024-07-01,684300,685757.7,-1457.6999999999534
2024-07-01,250600,248940.67,1659.3299999999872
2024-07-01,875000,899103.67,-24103.670000000042
2024-07-01,423600,428587.33,-4987.330000000016
2024-07-01,239000,239285.78,-285.77999999999884
2024-07-01,261900,261744.82,155.17999999999302
2024-07-01,409600,410387.36,-787.359999999986
2024-07-01,358200,367467.39,-9267.390000000014
2024-07-01,406300,406261.09,38.90999999997439
2024-07-01,352600,351199.48,1400.5200000000186
2024-07-01,235900,235961.72,-61.720000000001164
2024-07-01,351100,350542.18,557.820000000007
2024-07-01,263800,268813.2,-5013.200000000012
2024-07-01,822500,820124.87,2375.1300000000047
2024-07-01,483000,482491.94,508.0599999999977
2024-07-01,217400,220499.28,-3099.279999999999
2024-07-01,284300,283502.33,797.6699999999837
2024-07-01,277900,280415.29,-2515.289999999979
2024-07-01,391300,391759.34,-459.3400000000256
2024-07-01,462700,460371.12,2328.8800000000047
2024-07-01,216600,216496.41,103.58999999999651
2024-07-01,622500,616510.46,5989.540000000037
2024-07-01,303700,308010.0,-4310.0
2024-07-01,975600,952771.33,22828.670000000042
2024-07-01,309800,308749.27,1050.7299999999814
2024-07-01,385200,386445.72,-1245.719999999972
2024-07-01,503400,505546.44,-2146.4400000000023
2024-07-01,593200,594768.8,-1568.8000000000466
2024-07-01,407600,408093.53,-493.53000000002794
2024-07-01,454300,455446.33,-1146.3300000000163
2024-07-01,327600,326258.24,1341.7600000000093
2024-07-01,338400,341050.19,-2650.1900000000023
2024-07-01,277800,276481.67,1318.3300000000163
2024-07-01,268400,268169.09,230.9099999999744
2024-07-01,186300,185406.25,893.75
2024-07-01,312900,315586.0,-2686.0
2024-07-01,212100,213820.0,-1720.0
2024-07-01,286300,286151.23,148.77000000001863
2024-07-01,177400,181648.67,-4248.670000000013
2024-07-01,176100,176536.6,-436.6000000000058
2024-07-01,675000,667723.94,7276.060000000056
2024-07-01,360900,362207.52,-1307.5200000000186
2024-07-01,268400,268128.2,271.79999999998836
2024-07-01,675000,679360.81,-4360.810000000056
2024-07-01,315800,313156.58,2643.4199999999837
2024-07-01,270300,269924.05,375.95000000001164
2024-07-01,299200,297537.87,1662.1300000000047
2024-07-01,403100,403363.94,-263.9400000000023
2024-07-01,624500,621838.7,2661.3000000000466
2024-07-01,167500,168218.83,-718.8299999999872
2024-07-01,550300,558306.92,-8006.920000000042
2024-07-01,383800,387047.44,-3247.4400000000023
2024-07-01,848600,862617.33,-14017.329999999958
2024-07-01,241200,241433.0,-233.0
2024-07-01,390300,388303.69,1996.3099999999977
2024-07-01,242600,240615.67,1984.3299999999872
2024-07-01,477800,478961.33,-1161.3300000000163
2024-07-01,467500,464643.93,2856.070000000007
2024-07-01,508200,511275.68,-3075.679999999993
2024-07-01,501800,505099.94,-3299.9400000000023
2024-07-01,256300,256592.57,-292.570000000007
2024-07-01,244000,242772.67,1227.3299999999872
2024-07-01,260800,260771.67,28.329999999987194
