Actual,Predicted,Difference
353000,413571.97,-60571.97
371400,343990.12,27409.88
243700,227148.58,16551.42
612500,698574.2,-86074.19
358700,356425.25,2274.75
365400,376377.2,-10977.19
983700,790479.8,193220.19
283400,267480.9,15919.09
376700,343350.8,33349.19
738900,702358.06,36541.94
367500,337928.84,29571.16
1800000,1842239.0,-42239.0
268300,297393.78,-29093.78
188200,175482.9,12717.09
228600,236681.19,-8081.19
433100,434999.7,-1899.69
262300,255712.3,6587.7
214500,185059.27,29440.73
1242300,1103183.2,139116.75
317100,293339.7,23760.31
249200,245737.73,3462.27
473000,482865.88,-9865.88
592600,649800.8,-57200.81
576700,640061.5,-63361.5
217700,192096.88,25603.12
287900,274783.38,13116.62
533400,514479.38,18920.62
291500,303805.3,-12305.31
762400,823287.4,-60887.38
888100,850699.4,37400.62
295800,289448.97,6351.03
316500,313850.12,2649.88
463200,439117.97,24082.03
563300,518456.1,44843.91
364300,363338.03,961.97
237400,229884.73,7515.27
408200,432582.9,-24382.91
346400,354462.0,-8062.0
265200,261724.81,3475.19
426900,406084.9,20815.09
426500,432601.75,-6101.75
438500,469930.62,-31430.62
469400,858583.1,-389183.12
296600,296842.44,-242.44
316900,321830.72,-4930.72
260400,258220.88,2179.12
263900,227299.81,36600.19
338400,382274.38,-43874.38
364400,364988.7,-588.69
484300,471872.9,12427.09
670000,776252.94,-106252.94
571600,568860.25,2739.75
297100,299311.1,-2211.09
447400,431302.12,16097.88
340500,328861.62,11638.38
97100,116914.11,-19814.11
423300,429094.97,-5794.97
348400,328089.97,20310.03
279400,258823.45,20576.55
227900,263630.22,-35730.22
318600,307387.47,11212.53
257600,269885.12,-12285.12
572700,556556.25,16143.75
253800,255897.86,-2097.86
293700,468732.0,-175032.0
256400,262461.44,-6061.44
448300,404523.1,43776.91
234500,201200.19,33299.81
237800,249058.4,-11258.41
276500,274464.9,2035.09
243000,246840.55,-3840.55
445000,408364.88,36635.12
595800,579469.94,16330.06
377900,394450.3,-16550.31
225400,242642.12,-17242.12
216400,210521.66,5878.34
234900,249260.12,-14360.12
400300,371263.1,29036.91
735300,715996.0,19304.0
257400,281882.22,-24482.22
433200,411056.28,22143.72
191700,175856.28,15843.72
405200,414985.16,-9785.16
316800,311363.53,5436.47
272400,201556.27,70843.73
327000,290841.3,36158.69
497400,508431.4,-11031.41
191500,203888.77,-12388.77
354900,344800.72,10099.28
443200,370755.72,72444.28
